solver;pc;N;np;L2_r;H1_r;L2_c;H1_c;time
preonly;cholesky;500000;1;1.3730787909635179e-14;6.451977959641618e-11;3.4902569585155336e-15;1.6447235317665233e-11;24.98
preonly;cholesky;500000;2;1.3730801019594382e-14;6.451984182335586e-11;3.49026485230468e-15;1.644727252108021e-11;11.97
preonly;lu;500000;1;1.3730788703444992e-14;6.451978337050541e-11;3.490257428574777e-15;1.6447237531427632e-11;12.49
preonly;lu;500000;2;1.3730811479402578e-14;6.451989147834362e-11;3.4902710037532452e-15;1.644730150569373e-11;11.77
preonly;bjacobi;500000;1;1.3730788852894982e-14;6.451978409199558e-11;3.4902576290424034e-15;1.6447238466804257e-11;12.50
preonly;bjacobi;500000;2;8.909614827641255e-15;3.960235367309318e-11;8.462948652636986e-16;3.727272963258435e-12;5.25
preonly;asm;500000;1;1.3730788852894982e-14;6.451978409199558e-11;3.4902576290424034e-15;1.6447238466804257e-11;12.69
preonly;asm;500000;2;8.908990627786769e-15;3.95998441679055e-11;8.461577084539275e-16;3.726681606383661e-12;5.80
gmres;cholesky;500000;1;1.3730788901121428e-14;6.451978425254356e-11;3.490257484013285e-15;1.644723779800672e-11;12.66
gmres;cholesky;500000;2;1.373078869634008e-14;6.451978395475602e-11;3.4902580508909667e-15;1.644724041659545e-11;10.96
gmres;lu;500000;1;1.3730788928868163e-14;6.451978442960967e-11;3.4902574996074708e-15;1.6447237866358882e-11;12.22
gmres;lu;500000;2;1.37307885921727e-14;6.451978400016112e-11;3.4902586031105096e-15;1.644724297292363e-11;12.07
gmres;bjacobi;500000;1;1.3730788869798606e-14;6.451978417131547e-11;3.4902576440263706e-15;1.6447238537571317e-11;12.39
gmres;bjacobi;500000;2;1.0950759557252444e-14;5.113230500314742e-11;2.5735682810768575e-15;1.2126828182640022e-11;6.52
gmres;asm;500000;1;1.3730788869798606e-14;6.451978417131547e-11;3.4902576440263706e-15;1.6447238537571317e-11;13.01
gmres;asm;500000;2;1.3752410492318729e-14;6.462339899209002e-11;3.5019423141234977e-15;1.650228599388658e-11;6.01
gcr;cholesky;500000;1;1.3730787909535278e-14;6.451977959594692e-11;3.4902569584901764e-15;1.644723531754587e-11;12.78
gcr;cholesky;500000;2;1.373080101999996e-14;6.451984182526317e-11;3.490264852382397e-15;1.644727252144616e-11;9.87
gcr;lu;500000;1;1.3730788703444992e-14;6.451978337050541e-11;3.490257428574777e-15;1.6447237531427632e-11;12.75
gcr;lu;500000;2;1.3730811479302596e-14;6.451989147787353e-11;3.4902710037278435e-15;1.6447301505574097e-11;10.42
gcr;bjacobi;500000;1;1.3730788852982737e-14;6.451978409240913e-11;3.490257629115553e-15;1.6447238467149415e-11;13.05
gcr;bjacobi;500000;2;1.3729126216522013e-14;6.451182860604578e-11;3.488915659881457e-15;1.644090762251126e-11;6.23
gcr;asm;500000;1;1.3730788852982737e-14;6.451978409240913e-11;3.490257629115553e-15;1.6447238467149415e-11;11.93
gcr;asm;500000;2;1.3731706812239159e-14;6.452405503107905e-11;3.4910205193792556e-15;1.645083617672838e-11;6.42
